LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	LFQ intensity L1	LFQ intensity L2	LFQ intensity L3	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant L_Hwelch_combined	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: PEP	N: Intensity	N: -Log Welch's T-test p-value L_Hwelch_combined	N: Welch's T-test q-value L_Hwelch_combined	N: Welch's T-test Difference L_Hwelch_combined	N: Welch's T-test Test statistic L_Hwelch_combined	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
25.7489	25.7198	25.8093	26.3576	26.5975	26.4524				+	L_H	11	11	11	15.4	15.4	15.4	98.008	1.92E-36	367760000	2.33835	0.0231401	0.70982	0.342154	H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4;F2Z3K9;A0FGR8-5;A6NFV7	H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4	Extended synaptotagmin-2	ESYT2	2
23.3404	23.5161	23.4147	24.4428	24.0625	24.2565				+	L_H	6	6	6	17.9	17.9	17.9	45.917	2.82E-23	65113000	2.11362	0.0310011	0.830243	0.391434	A2A2V2;P42696;P42696-2;Q5TCT4;H7C5M1	A2A2V2;P42696;P42696-2;Q5TCT4	RNA-binding protein 34	RBM34	14
25.0688	24.9247	24.705	25.6639	25.5521	25.4599				+	L_H	17	17	17	9.6	9.6	9.6	266.38	2.18E-73	189390000	1.96382	0.0378372	0.659114	0.31074	A5YKK6-2;A5YKK6;F8WA87;A5YKK6-3;B5MDN3;B3KPW6;A5YKK6-4;H3BMZ2;F5H1F4;H3BVC9;H3BNB1	A5YKK6-2;A5YKK6;F8WA87;A5YKK6-3;B5MDN3;B3KPW6;A5YKK6-4	CCR4-NOT transcription complex subunit 1	CNOT1	30
27.5057	27.0137	27.4506	28.3577	28.4332	28.1994				+	L_H	7	7	7	29.2	29.2	29.2	24.327	1.54E-27	1051700000	1.91328	0.0403538	1.00678	0.463914	Q9UKK9;A6NFX8;A6NJU6;A6NHE8;H0YEY4;A6NCQ0	Q9UKK9;A6NFX8;A6NJU6;A6NHE8	ADP-sugar pyrophosphatase	NUDT5	48
23.8015	24.046	23.8205	24.6575	24.4366	24.5068				+	L_H	3	3	3	12.1	12.1	12.1	25.807	1.60E-12	121560000	2.44378	0.0207209	0.644323	0.306522	A6NG10;Q969T9;E7EX86;B4DFG2;B4DV07	A6NG10;Q969T9;E7EX86;B4DFG2;B4DV07	WW domain-binding protein 2	WBP2	49
27.3443	27.4368	27.4035	27.9239	27.9026	27.7691				+	L_H	35	35	35	19	19	19	215.74	2.35E-124	1199100000	2.53747	0.0186428	0.470364	0.228833	A6NHR9-2;A6NHR9;A6NHR9-3	A6NHR9-2;A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	55
22.0449	22.1019	22.2163	22.7544	22.587	22.9559				+	L_H	4	4	4	30.4	30.4	30.4	19.454	3.66E-13	61341000	1.86261	0.043058	0.644739	0.304418	A6NLT0;Q9Y3B7;Q9Y3B7-2;E9PQB6;H0YCD5	A6NLT0;Q9Y3B7;Q9Y3B7-2;E9PQB6	39S ribosomal protein L11, mitochondrial	MRPL11	73
30.3334	30.0729	30.4114	30.9824	30.9971	31.1341				+	L_H	17	17	17	43.9	43.9	43.9	53.248	2.20E-117	7099500000	2.10949	0.0311876	0.765261	0.362139	Q9ULV4;A7MAP0;B4E3S0;H0YHL7;F8W1H8;F8VUX3;F8VSA4;F8VRE9;F8VTT6;F8VVB7;F8VV53;B3KRY9;Q6QEF8-4;Q6QEF8-3;Q6QEF8-2;Q6QEF8-5;Q6QEF8;F8W759	Q9ULV4;A7MAP0;B4E3S0	Coronin-1C	CORO1C	88
26.7275	26.8867	26.9388	27.3497	27.194	27.2248				+	L_H	19	19	13	27.3	27.3	20.8	97.651	9.14E-95	926760000	2.06972	0.0328464	0.405173	0.194853	P50570-2;A8K1B6;P50570;F5H4R9;E9PEQ4;H3BLY9;F5H722;E5RHK8;Q9UQ16-2;Q9UQ16-3;Q9UQ16;Q9UQ16-4;C9JXE5;Q6P2G1;E5RIK2;F5H2V1	P50570-2;A8K1B6;P50570;F5H4R9;E9PEQ4	Dynamin-2	DNM2	92
28.9715	29.1527	29.2731	30.3223	30.2147	30.1855				+	L_H	24	4	4	62.1	12.5	12.5	48.328	1.98E-180	2026600000	2.74524	0.0146607	1.10841	0.528567	A8MUB1;P68366;C9JEV8;C9JQ00;C9JJQ8;C9JDL2	A8MUB1;P68366	Tubulin alpha-4A chain	TUBA4A	110
