Protein	H1	H2	H3	L1	L2	L3
A0AV96;B7Z8Z7;A0AV96-2;D6R9D6	166790000	176680000	140720000	202980000	245050000	259580000
A0AVT1;A0AVT1-2	34679000	46278000	24750000	72394000	71990000	58362000
H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4	56390000	55263000	58800000	85986000	101540000	91829000
A0JLT2;A0JLT2-2	5242200	13833000	8987600	2425200	14226000	6378500
A0MZ66-4;A0MZ66;A0MZ66-3;B7Z7Z9;A0MZ66-5;A0MZ66-6;A0MZ66-2	16071000	14464000	11525000	19504000	32484000	19369000
A1A528;O43264	57169000	36014000	21285000	27437000	34727000	27064000
A1L0T0;E9PJS0	210120000	234330000	228270000	253220000	266130000	236350000
A1L491;Q86XK2;Q86XK2-5;Q86XK2-2;H0YAV3;Q86XK2-3	0	2608400	2083100	6243200	2874900	2846500
Q99798;A2A274;F5H2A5;B4DW08;B4DEC3	78654000	105340000	132150000	166280000	160730000	148660000
Q86X10-2;A2A2F0;Q86X10-3;A2A2E9;Q86X10;B4E2E8;Q86X10-4	1813000	1310100	3414300	8551300	6297700	5556800
Q9Y672;A2A2G4	1637100	0	0	2823900	3467200	2573900
Q9Y312;A2A2Q9	0	0	0	0	10565000	0
A2A2V2;P42696;P42696-2;Q5TCT4	10621000	11996000	11182000	22805000	17520000	20042000
P35611-2;E7EV99;Q86XM2;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q96D30	15868000	18066000	0	34551000	37019000	26359000
A2RRF3;Q9UBC2;Q9UBC2-2	15808000	14474000	16401000	31512000	18086000	20630000
A2RRP1-2;A2RRP1;H0Y5G7	11578000	11834000	13832000	15424000	17646000	13707000
A3KFJ0;O14965;Q5QPD4	5653400	11077000	7127100	7662500	12674000	7553500
A3KMH1-2;E2QRD0;A3KMH1-3;A3KMH1	16279000	18644000	12771000	47134000	27044000	27408000
A3KN83-3;A3KN83-2;A3KN83;F8W8H8;A3KN83-4	4377400	4474300	0	5782600	8010100	6994900
A4D1E9;C9J8R7;C9JNI1;A4D1E9-2	31648000	23792000	26642000	31677000	32888000	32037000
A5YKK6-2;A5YKK6;F8WA87;A5YKK6-3;B5MDN3;B3KPW6;A5YKK6-4	35194000	31848000	27349000	53161000	49197000	46153000
A6H8Z3;Q15042;C9J837	7966400	8107300	3705300	14930000	14277000	9874800
O14639;Q5T6N4;A6NCD9;O14639-4;O14639-3;O14639-5;Q5JVV3;H0Y3K7;F8WAB1;Q5T6N2;F8WAB0;O14639-2;F8W8M4;A6NKJ2	8934600	13518000	11629000	16094000	19449000	11129000
A8MU28;Q13564-2;Q13564;A6NCK0	17998000	25287000	18216000	28391000	33228000	30378000
A6NCU2;B7Z227;A6NHW8;Q8N5Y2-2;Q8N5Y2-3;Q8N5Y2;A6NLU8	4148200	6223000	2921600	4866800	5318900	2752700
A6NDG6	71973000	71794000	60927000	54455000	86690000	94983000
H7C5A7;E9PJN0;A6NDT2;O14734;H0Y698;Q9BR14;E9PMC4;G5E995;E9PIS4	0	0	0	5831800	6340700	7616200
A6NF48;Q9Y2X9;F5H1Z5	7662700	10779000	5473500	70063000	15298000	8320700
Q9UKK9;A6NFX8;A6NJU6;A6NHE8	190560000	135500000	183420000	343970000	362450000	308220000
A6NG10;Q969T9;E7EX86;B4DFG2;B4DV07	14621000	17321000	14814000	26464000	22707000	23839000
A6NG79;E9PGC6;Q92733	13954000	21809000	18234000	21478000	25400000	18836000
Q14202-2;Q14202;A6NHB5;A6NHN7	6158100	3826000	0	2848700	2856600	3136200
A6NHR9-2;A6NHR9	170390000	181680000	177530000	254650000	250910000	228740000
P63092-3;P63092-2;P63092;A6NI00;Q5JWF2-2;Q5JWF2	141070000	152490000	179760000	225020000	197880000	188430000
