majority_protein_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
1	C9J3L8;C9J5W0;P43307;E9PAL7;C9IZQ1;P43307-2;F5H5Y2	7.11735975053004	23.8867169519597	29.3284544250091	5.63708622129852e-09	2.95665172307108e-05	11.0588523041991
2	P09373	-1.24516054680162	35.0489629326424	-22.1543035068939	4.46809083084657e-08	4.93375004169742e-05	9.37882757695916
3	P0AFG3	-1.3358399324115	31.6588484509059	-21.7313162453774	5.1486642409636e-08	4.93375004169742e-05	9.25464471101394
4	P0A8V2	-1.29095016579821	32.9721344790914	-21.336087523892	5.89235208831385e-08	4.93375004169742e-05	9.13549514048122
5	P0A6F5	-1.02739896846636	34.9231048055238	-19.8588808655032	9.9776545602168e-08	4.93375004169742e-05	8.66164163934038
6	P27298	-1.3537969264043	31.18702033709	-19.7753104413525	1.02909785529294e-07	4.93375004169742e-05	8.63340859153325
7	P07118	-1.26619768015916	30.7818048608143	-19.2066642108255	1.27441255239886e-07	4.93375004169742e-05	8.43697580877032
8	P0A7D4	-1.28432136981048	31.7487496261068	-19.1130557719452	1.32083658100059e-07	4.93375004169742e-05	8.40390002954488
9	P0C0V0	-1.23144104775809	31.237957672167	-19.074102823599	1.34071643162933e-07	4.93375004169742e-05	8.3900733405347
10	P0AFG8	-1.06505958736097	34.1338420679306	-18.9981881081991	1.38044072930094e-07	4.93375004169742e-05	8.36301968498921
12	P0A991	-1.31963844242633	32.4329586720579	-18.4864977137469	1.68572251955999e-07	4.93375004169742e-05	8.17690275798828
13	P0ACA3	-1.36329835550952	30.3923261667358	-18.0201966481668	2.03185922843116e-07	4.93375004169742e-05	8.00138495917961
14	P00961	-1.38257705192172	31.3912965469854	-17.9618103486306	2.08061103121906e-07	4.93375004169742e-05	7.97899748883222
15	P0A836	-1.27018403767616	33.0875497230532	-17.8961260955837	2.13704537897817e-07	4.93375004169742e-05	7.95370034405587
16	P0A6M8	-1.13795961905214	34.7904340256684	-17.6167734232648	2.39721344754802e-07	4.93375004169742e-05	7.84477751642105
17	P0A6K6	-1.15077609850686	31.9444873862007	-17.589408961996	2.42457020399034e-07	4.93375004169742e-05	7.8339900930278
18	P0ADE8	-1.29430927342855	29.8474313529439	-17.4598547342573	2.55897643551708e-07	4.93375004169742e-05	7.7826288464513
19	O75494-5;Q5JRI1;O75494-4;Q5JRI3;O75494-3;O75494-2;O75494	5.28150013346015	23.3320859149107	17.3105545618374	2.72443492697307e-07	4.93375004169742e-05	7.72284077057846
20	P21889	-1.32117215283757	30.60404383233	-17.2107453995687	2.84179206149226e-07	4.93375004169742e-05	7.68250951471611
21	P00864	-1.37739754463256	30.7613900204826	-17.1292987900775	2.94180496536481e-07	4.93375004169742e-05	7.64938081663728
22	P0A855	-1.42010601105248	29.7290670057016	-17.0976834117185	2.98169522505402e-07	4.93375004169742e-05	7.63646811249367
23	P27550	-1.01041644623778	33.212091292464	-17.0671424385098	3.02081175979688e-07	4.93375004169742e-05	7.62396592341484
24	P0AD61	-1.06830013591273	33.6083179407433	-16.9815812321772	3.13352466633145e-07	4.93375004169742e-05	7.58879188915758
25	P21179	-1.21785301775333	32.7659807757461	-16.8436111485673	3.32544334828826e-07	4.93375004169742e-05	7.53160639111959
26	P24171	-1.31725577618743	29.8203666725426	-16.8299887202881	3.34510280265625e-07	4.93375004169742e-05	7.52592872153067
27	P33195	-1.28771984826934	31.6345698137976	-16.7314652347135	3.49126640767753e-07	4.93375004169742e-05	7.48469537944897
28	P0ADG7	-1.48932358113396	31.1705806529463	-16.6672564531234	3.59040774327737e-07	4.93375004169742e-05	7.45766151740542
29	P0A705;P0A705-3;P0A705-2	-1.20650917966635	31.5103552541826	-16.6541598545633	3.61101820143897e-07	4.93375004169742e-05	7.45213168769294
30	P02925	-1.12446806990195	34.4004600833055	-16.6045681028176	3.6902837250052e-07	4.93375004169742e-05	7.43114375017331
31	P0A717	-1.15698011615686	31.135010479054	-16.593980953725	3.70745958431164e-07	4.93375004169742e-05	7.42665312929464
32	P0AGE0	-1.44777547698056	28.6550838689589	-16.5915965716551	3.71134030295114e-07	4.93375004169742e-05	7.42564128932072
33	P05804	-1.40163407297502	30.6104350909495	-16.4690761176002	3.91707248254444e-07	4.93375004169742e-05	7.37340673293264
34	P0AG30	-1.29134084649851	30.5220392900218	-16.4660538534962	3.92230789334412e-07	4.93375004169742e-05	7.37211222395388
