"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"aas","P31119",1.14,0.00698,0.0178,TRUE,TRUE,TRUE,2,"Bifunctional protein aas;2-acylglycerophosphoethanolamine acyltransferase;Acyl-[acyl-carrier-protein] synthetase"
"ACBD6","Q9BR61",-1.36,0.00432,0.0127,TRUE,TRUE,TRUE,1,"Acyl-CoA-binding domain-containing protein 6"
"accA","P0ABD5",1.36,4.74e-05,0.00125,TRUE,TRUE,FALSE,0,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha"
"accB","P0ABD8",1.14,0.00137,0.00584,TRUE,TRUE,FALSE,0,"Biotin carboxyl carrier protein of acetyl-CoA carboxylase"
"accC","P24182",1.22,5.58e-05,0.00125,TRUE,TRUE,FALSE,0,"Biotin carboxylase"
"accD","P0A9Q5",1.26,9.91e-05,0.00138,TRUE,TRUE,FALSE,0,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta"
"aceB","P08997",1.08,0.000164,0.00165,TRUE,TRUE,FALSE,0,"Malate synthase A"
"aceE","P0AFG8",1.07,5.9e-05,0.00125,TRUE,TRUE,FALSE,0,"Pyruvate dehydrogenase E1 component"
"aceF","P06959",1.28,6.97e-05,0.00127,TRUE,TRUE,FALSE,0,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex"
"aceK","P11071",1.14,0.00121,0.00541,TRUE,TRUE,FALSE,0,"Isocitrate dehydrogenase kinase/phosphatase"
"acnA","P25516",1.13,0.000146,0.00156,TRUE,TRUE,FALSE,0,"Aconitate hydratase 1"
"acnB","P36683",1.08,6.66e-05,0.00125,TRUE,TRUE,FALSE,0,"Aconitate hydratase 2"
"ACOT8","H7C5A7",-2.16,0.000334,0.00249,TRUE,TRUE,TRUE,3,"Acyl-coenzyme A thioesterase 8"
"acrA","P0AE06",1.15,0.000102,0.0014,TRUE,TRUE,FALSE,0,"Acriflavine resistance protein A"
"acrB","P31224",1.33,2.06e-05,0.00125,TRUE,TRUE,FALSE,0,"Acriflavine resistance protein B"
"acs","P27550",1.01,7.83e-05,0.00129,TRUE,TRUE,FALSE,0,"Acetyl-coenzyme A synthetase"
"ACSL4","O60488-2",-1.61,0.000152,0.00159,TRUE,TRUE,FALSE,0,"Long-chain-fatty-acid--CoA ligase 4"
"actP","P32705",1.31,0.000146,0.00156,TRUE,TRUE,FALSE,0,"Cation/acetate symporter ActP"
"ACTR6","Q9GZN1",-1.42,0.0034,0.0107,TRUE,TRUE,FALSE,0,"Actin-related protein 6"
"add","P22333",1.18,0.00024,0.00204,TRUE,TRUE,FALSE,0,"Adenosine deaminase"
"adhP","P39451",1.53,9.29e-05,0.00135,TRUE,TRUE,FALSE,0,"Alcohol dehydrogenase, propanol-preferring"
"adiA","P28629",1.06,0.00181,0.00704,TRUE,TRUE,FALSE,0,"Biodegradative arginine decarboxylase"
"adk","P69441",1.25,0.000203,0.00187,TRUE,TRUE,FALSE,0,"Adenylate kinase"
"agp","P19926",1.24,0.000124,0.00148,TRUE,TRUE,FALSE,0,"Glucose-1-phosphatase"
"AGPS","O00116",-1.1,0.0108,0.0246,TRUE,TRUE,FALSE,0,"Alkyldihydroxyacetonephosphate synthase, peroxisomal"
"AGR2","H7C3Z9",-2.17,0.00118,0.00532,TRUE,TRUE,TRUE,2,"Anterior gradient protein 2 homolog"
"ahpF","P35340",1.15,7.18e-05,0.00127,TRUE,TRUE,FALSE,0,"Alkyl hydroperoxide reductase subunit F"
"aidB","P33224",1.14,0.000208,0.00189,TRUE,TRUE,FALSE,0,"Putative acyl-CoA dehydrogenase AidB"
"AKAP9","Q99996-5",-1.13,0.0137,0.0291,TRUE,TRUE,TRUE,1,"A-kinase anchor protein 9"
"AKT1S1","Q96B36",-2.58,0.0217,0.0415,TRUE,TRUE,TRUE,2,"Proline-rich AKT1 substrate 1"
"alaC","P77434",2.45,5.17e-05,0.00125,TRUE,TRUE,TRUE,3,"Glutamate-pyruvate aminotransferase AlaC"
"alaS","P00957",1.1,7.72e-05,0.00129,TRUE,TRUE,FALSE,0,"Alanine--tRNA ligase"
"aldB","P37685",1.4,3.72e-05,0.00125,TRUE,TRUE,FALSE,0,"Aldehyde dehydrogenase B"
"ALDH3B1","P43353",-1.09,0.000324,0.00244,TRUE,TRUE,FALSE,0,"Aldehyde dehydrogenase family 3 member B1"
"ALG3","H7C0X4",-1.04,0.02,0.0391,TRUE,TRUE,FALSE,0,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"
"allR","P0ACN4",1.45,0.000205,0.00188,TRUE,TRUE,FALSE,0,"HTH-type transcriptional repressor AllR"
"alr","P0A6B4",1.53,8.55e-05,0.00131,TRUE,TRUE,TRUE,3,"Alanine racemase, biosynthetic"
"amiD","P75820",1.18,0.0156,0.0322,TRUE,TRUE,FALSE,0,"N-acetylmuramoyl-L-alanine amidase AmiD"
"amn","P0AE12",1.94,0.000336,0.0025,TRUE,TRUE,FALSE,0,"AMP nucleosidase"
"ampE","P0AE14",1.77,6.26e-05,0.00125,TRUE,TRUE,FALSE,0,"Protein AmpE"
"amyA","P26612",1.5,5.25e-05,0.00125,TRUE,TRUE,FALSE,0,"Cytoplasmic alpha-amylase"
"ANKRD28","O15084",-1.33,0.00612,0.0161,TRUE,TRUE,FALSE,0,"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"
"anmK","P77570",1.98,0.000112,0.00145,TRUE,TRUE,FALSE,0,"Anhydro-N-acetylmuramic acid kinase"
"ANP32E","Q9BTT0",-1.19,0.00181,0.00704,TRUE,TRUE,FALSE,0,"Acidic leucine-rich nuclear phosphoprotein 32 family member E"
"ansA","P0A962",1.26,0.00159,0.00642,TRUE,TRUE,FALSE,0,"L-asparaginase 1"
"ansB","P00805",1.1,5.65e-05,0.00125,TRUE,TRUE,FALSE,0,"L-asparaginase 2"
"AP1B1","Q10567-3",-1.19,0.000109,0.00143,TRUE,TRUE,FALSE,0,"AP-1 complex subunit beta-1"
"apaG","P62672",1.6,0.000254,0.0021,TRUE,TRUE,FALSE,0,"Protein ApaG"
"apaH","P05637",1.48,0.000946,0.00464,TRUE,TRUE,FALSE,0,"Bis(5-nucleosyl)-tetraphosphatase [symmetrical]"
