majority_protein_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
1	P04406	1.11217658382613	35.5063998475457	22.5464518526249	1.51824997228907e-08	4.90916809935062e-05	10.3271738720256
2	O43390;O43390-2;Q2L7G6;E7ETM7	1.14502991535035	32.5595390817544	19.392804903537	4.98894864606995e-08	4.90916809935062e-05	9.2755025720767
3	P07355;P07355-2;H0YN42;H0YMD0;H0YMU9;H0YM50;A6NMY6;H0YKS4;B3KRQ1	1.25890183979222	32.4041679540722	18.6006807377335	6.92674852938248e-08	4.90916809935062e-05	8.97440639509349
6	P04075;H3BQN4;H3BPS8	1.09615620261369	32.9320741290146	17.5658486065748	1.0858011991835e-07	4.90916809935062e-05	8.55503322851763
9	B7Z4V2;P38646;F5H3L8	1.22893333657168	32.2021020552299	17.1476915087472	1.31150511350397e-07	4.90916809935062e-05	8.37657505022509
15	P0ADU2	-1.77331480665161	27.7546935216019	-16.0840261834765	2.16421192260996e-07	4.90916809935062e-05	7.89721565529651
17	P00864	-1.16989601287585	30.7326336566323	-16.0619060421845	2.18759453880857e-07	4.90916809935062e-05	7.88683881000162
18	O00299	1.19523862065903	30.7266358393065	16.0325713686216	2.21904151680652e-07	4.90916809935062e-05	7.87305086920582
20	P07900;P07900-2;Q86U12	1.05145570133345	32.571678317764	15.9769417118418	2.28007863212891e-07	4.90916809935062e-05	7.846819889782
21	P0ACA3	-1.17197075847581	30.3648763669944	-15.6971539545881	2.61705744739918e-07	4.90916809935062e-05	7.71320563400531
23	P07913	-1.68811171027953	28.8201452642004	-15.6745642812002	2.64661269486076e-07	4.90916809935062e-05	7.70229346667008
26	P07118	-1.05612597431454	30.7614346202022	-15.4521992503766	2.95839438167794e-07	4.90916809935062e-05	7.59386716762328
27	P0A7D4	-1.00236148045774	31.7342819191062	-15.3130681780652	3.17433205815291e-07	4.90916809935062e-05	7.52507968348013
29	P33602	-1.15437989327014	30.3085941859396	-14.9982188235338	3.73135973765479e-07	4.90916809935062e-05	7.36665758136804
30	P30101;B3KQT9;G5EA52;F5H119	1.02233616706677	32.7316960339763	14.9505184300152	3.82494615358081e-07	4.90916809935062e-05	7.34231625490946
31	P0ADE8	-1.11935319282567	29.8515491358326	-14.926377674595	3.87330978788501e-07	4.90916809935062e-05	7.32996272390475
33	P60174-1;P60174;B7Z5D8	1.09195859014101	33.1227622847846	14.6904554311799	4.38380310382129e-07	4.90916809935062e-05	7.20799608127735
34	P33195	-1.02573257952316	31.6300786239816	-14.6503572691255	4.47785532607473e-07	4.90916809935062e-05	7.18704025554207
35	P07650	-1.23904714713528	29.3175355172084	-14.5944260509393	4.61284397976087e-07	4.90916809935062e-05	7.15769881818871
36	P0ABJ9	-1.03216246060017	31.808630069515	-14.5682753460578	4.67751763280953e-07	4.90916809935062e-05	7.14393560706512
37	P21889	-1.12801163311544	30.5738870400913	-14.5437705172258	4.73904408035561e-07	4.90916809935062e-05	7.13101273527985
38	P0A940	-1.26767443805227	28.9419894823016	-14.5120158568707	4.82012641259657e-07	4.90916809935062e-05	7.11422920927277
39	P05804	-1.21043196189344	30.5814124336668	-14.5083115719751	4.82968573949463e-07	4.90916809935062e-05	7.11226860132926
40	P10121	-1.39341072582784	28.5202966498604	-14.405116051231	5.10472479104005e-07	4.90916809935062e-05	7.05741655473786
42	P0ACG1	-1.48013471001581	28.4218612066471	-14.3980381655747	5.1242225062152e-07	4.90916809935062e-05	7.05363787941853
43	P0AFG3	-1.05268822273827	31.6467955690609	-14.3890959045784	5.14897547940329e-07	4.90916809935062e-05	7.04886082076159
45	P35579;P35579-2	1.06340153248509	31.5344156215767	14.3217639907082	5.33971695973389e-07	4.90916809935062e-05	7.01278171020753
46	P69451	-1.8082792779313	27.3693672712722	-14.3200368431832	5.34471277197828e-07	4.90916809935062e-05	7.01185368221922
47	P0AC86	-1.64123807868548	27.0476813614936	-14.3107223738041	5.37174550600441e-07	4.90916809935062e-05	7.00684663846998
48	P0AGE0	-1.33395226125586	28.6250003439501	-14.2994715623952	5.40460240180105e-07	4.90916809935062e-05	7.00079372999691
49	P0AEP3	-1.20250986324541	29.11192420483	-14.2715130560299	5.48723175447081e-07	4.90916809935062e-05	6.98572851464161
